From	To	Species	Gene Name
ENSMMUG00000012570	LOC714047	Macaca mulatta	transcription factor BTF3 pseudogene(LOC714047)
ENSMMUG00000015258	GCAT	Macaca mulatta	glycine C-acetyltransferase(GCAT)
ENSMMUG00000031717	LOC693645	Macaca mulatta	60S ribosomal protein L36a(LOC693645)
ENSMMUG00000013952	LOC716150	Macaca mulatta	60S ribosomal protein L9 pseudogene(LOC716150)
ENSMMUG00000012837	WTAP	Macaca mulatta	Wilms tumor 1 associated protein(WTAP)
ENSMMUG00000004594	CGRRF1	Macaca mulatta	cell growth regulator with ring finger domain 1(CGRRF1)
ENSMMUG00000030473	LOC702001	Macaca mulatta	translationally-controlled tumor protein pseudogene(LOC702001)
ENSMMUG00000031336	LOC711798	Macaca mulatta	translationally-controlled tumor protein(LOC711798)
ENSMMUG00000022772	POM121C	Macaca mulatta	POM121 transmembrane nucleoporin C(POM121C)
ENSMMUG00000010075	MLLT11	Macaca mulatta	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11(MLLT11)
ENSMMUG00000031139	LOC100430605	Macaca mulatta	peptidyl-prolyl cis-trans isomerase A pseudogene(LOC100430605)
ENSMMUG00000018776	FAU	Macaca mulatta	FAU, ubiquitin like and ribosomal protein S30 fusion(FAU)
ENSMMUG00000018573	KHDC1	Macaca mulatta	KH homology domain containing 1(KHDC1)
ENSMMUG00000018778	MRPL49	Macaca mulatta	mitochondrial ribosomal protein L49(MRPL49)
ENSMMUG00000003788	TXNDC17	Macaca mulatta	thioredoxin domain containing 17(TXNDC17)
ENSMMUG00000015247	SDHD	Macaca mulatta	succinate dehydrogenase complex, subunit D, integral membrane protein(SDHD)
ENSMMUG00000031537	LOC709411	Macaca mulatta	endothelial differentiation-related factor 1-like(LOC709411)
ENSMMUG00000013945	CYP1B1	Macaca mulatta	cytochrome P450, family 1, subfamily B, polypeptide 1(CYP1B1)
ENSMMUG00000031532	LOC719770	Macaca mulatta	60S ribosomal protein L36 pseudogene(LOC719770)
ENSMMUG00000011714	ZFP91	Macaca mulatta	ZFP91 zinc finger protein(ZFP91)
ENSMMUG00000003780	TJP2	Macaca mulatta	tight junction protein 2(TJP2)
ENSMMUG00000018172	RPA2	Macaca mulatta	replication protein A2(RPA2)
ENSMMUG00000023395	LOC705741	Macaca mulatta	dnaJ homolog subfamily C member 8 pseudogene(LOC705741)
ENSMMUG00000009657	MRPL34	Macaca mulatta	mitochondrial ribosomal protein L34(MRPL34)
ENSMMUG00000012172	PAFAH1B3	Macaca mulatta	platelet activating factor acetylhydrolase 1b catalytic subunit 3(PAFAH1B3)
ENSMMUG00000009656	ABHD8	Macaca mulatta	abhydrolase domain containing 8(ABHD8)
ENSMMUG00000000126	LOC698013	Macaca mulatta	serine/threonine-protein kinase PINK1, mitochondrial(LOC698013)
ENSMMUG00000005754	KARS	Macaca mulatta	lysyl-tRNA synthetase(KARS)
ENSMMUG00000032054	LOC693893	Macaca mulatta	non-histone chromosomal protein HMG-17(LOC693893)
ENSMMUG00000012179	LOC705728	Macaca mulatta	60S ribosomal protein L9 pseudogene(LOC705728)
ENSMMUG00000002144	LOC722305	Macaca mulatta	ovostatin homolog 2(LOC722305)
ENSMMUG00000008119	TELO2	Macaca mulatta	telomere maintenance 2(TELO2)
ENSMMUG00000018788	TMEM14C	Macaca mulatta	transmembrane protein 14C(TMEM14C)
ENSMMUG00000005337	ZNF776	Macaca mulatta	zinc finger protein 776(ZNF776)
ENSMMUG00000031713	LOC699951	Macaca mulatta	cytochrome c-like(LOC699951)
ENSMMUG00000005314	ELL2	Macaca mulatta	elongation factor for RNA polymerase II 2(ELL2)
ENSMMUG00000010999	HDHD2	Macaca mulatta	haloacid dehalogenase like hydrolase domain containing 2(HDHD2)
ENSMMUG00000007578	SHTN1	Macaca mulatta	shootin 1(SHTN1)
ENSMMUG00000013496	DTWD1	Macaca mulatta	DTW domain containing 1(DTWD1)
ENSMMUG00000016765	Cox6b1	Macaca mulatta	cytochrome c oxidase subunit 6B(COX6B1)
ENSMMUG00000029240	EEF2KMT	Macaca mulatta	eukaryotic elongation factor 2 lysine methyltransferase(EEF2KMT)
ENSMMUG00000008050	HS3ST3A1	Macaca mulatta	heparan sulfate-glucosamine 3-sulfotransferase 3A1(HS3ST3A1)
ENSMMUG00000010577	LOC713553	Macaca mulatta	RNA-binding protein 4B(LOC713553)
ENSMMUG00000014748	SLC22A17	Macaca mulatta	solute carrier family 22 member 17(SLC22A17)
ENSMMUG00000001319	MTHFD1	Macaca mulatta	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1(MTHFD1)
ENSMMUG00000013283	CDHR2	Macaca mulatta	cadherin related family member 2(CDHR2)
ENSMMUG00000005300	DUSP7	Macaca mulatta	dual specificity phosphatase 7(DUSP7)
ENSMMUG00000032435	LOC713024	Macaca mulatta	protein transport protein Sec61 subunit beta(LOC713024)
ENSMMUG00000013280	VWA1	Macaca mulatta	von Willebrand factor A domain containing 1(VWA1)
ENSMMUG00000010780	PANK1	Macaca mulatta	pantothenate kinase 1(PANK1)
ENSMMUG00000004158	LOC697992	Macaca mulatta	NEDD8-conjugating enzyme UBE2F pseudogene(LOC697992)
ENSMMUG00000001106	ZNF160	Macaca mulatta	zinc finger protein 160(ZNF160)
ENSMMUG00000020655	ZCCHC9	Macaca mulatta	zinc finger CCHC-type containing 9(ZCCHC9)
ENSMMUG00000028699	ND1	Macaca mulatta	NADH dehydrogenase subunit 1(ND1)
ENSMMUG00000002194	PRKAR1A	Macaca mulatta	protein kinase cAMP-dependent type I regulatory subunit alpha(PRKAR1A)
ENSMMUG00000014733	CDH23	Macaca mulatta	cadherin related 23(CDH23)
ENSMMUG00000008696	TAF4	Macaca mulatta	TATA-box binding protein associated factor 4(TAF4)
ENSMMUG00000008067	KLHL24	Macaca mulatta	kelch like family member 24(KLHL24)
ENSMMUG00000013289	LILRB1	Macaca mulatta	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1(LILRB1)
ENSMMUG00000008065	SART1	Macaca mulatta	squamous cell carcinoma antigen recognized by T-cells 1(SART1)
ENSMMUG00000016748	LOC696366	Macaca mulatta	putative RNA exonuclease NEF-sp(LOC696366)
ENSMMUG00000022094	abcb10	Macaca mulatta	ATP binding cassette subfamily B member 10(ABCB10)
ENSMMUG00000032421	LOC700019	Macaca mulatta	ribosomal protein, large, P2-like(LOC700019)
ENSMMUG00000015618	TMEM256	Macaca mulatta	transmembrane protein 256(TMEM256)
ENSMMUG00000005595	RAB14	Macaca mulatta	RAB14, member RAS oncogene family(RAB14)
ENSMMUG00000002180	LOC717349	Macaca mulatta	28S ribosomal protein S10, mitochondrial pseudogene(LOC717349)
ENSMMUG00000015208	mob1a	Macaca mulatta	MOB kinase activator 1A(MOB1A)
ENSMMUG00000005593	LOC716997	Macaca mulatta	40S ribosomal protein S15a pseudogene(LOC716997)
ENSMMUG00000002184	LOC715218	Macaca mulatta	transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)-like(LOC715218)
ENSMMUG00000010556	SRCAP	Macaca mulatta	Snf2 related CREBBP activator protein(SRCAP)
ENSMMUG00000010554	LOC696959	Macaca mulatta	phosphoglycerate mutase 1(LOC696959)
ENSMMUG00000019733	TMEM214	Macaca mulatta	transmembrane protein 214(TMEM214)
ENSMMUG00000007551	RPL13A	Macaca mulatta	ribosomal protein L13a(RPL13A)
ENSMMUG00000016738	POLR3GL	Macaca mulatta	RNA polymerase III subunit G like(POLR3GL)
ENSMMUG00000019114	BANF1	Macaca mulatta	barrier to autointegration factor 1(BANF1)
ENSMMUG00000032410	RPS24	Macaca mulatta	ribosomal protein S24(RPS24)
ENSMMUG00000015608	TDRD12	Macaca mulatta	tudor domain containing 12(TDRD12)
ENSMMUG00000007549	RPS11	Macaca mulatta	ribosomal protein S11(RPS11)
ENSMMUG00000020627	RPLP2	Macaca mulatta	ribosomal protein lateral stalk subunit P2(RPLP2)
ENSMMUG00000031981	LOC702677	Macaca mulatta	60S ribosomal protein L34(LOC702677)
ENSMMUG00000022491	VHL	Macaca mulatta	von Hippel-Lindau tumor suppressor(VHL)
ENSMMUG00000019335	LOC709201	Macaca mulatta	60S ribosomal protein L3-like(LOC709201)
ENSMMUG00000018996	YDJC	Macaca mulatta	YdjC homolog (bacterial)(YDJC)
ENSMMUG00000014715	FRA10AC1	Macaca mulatta	fragile site, folic acid type, rare, fra(10)(q23.3) or fra(10)(q24.2) candidate 1(FRA10AC1)
ENSMMUG00000004552	DDT	Macaca mulatta	D-dopachrome tautomerase(DDT)
ENSMMUG00000014717	HGH1	Macaca mulatta	HGH1 homolog(HGH1)
ENSMMUG00000021766	H3F3B	Macaca mulatta	H3 histone, family 3B(H3F3B)
ENSMMUG00000023169	EIF4EBP2	Macaca mulatta	eukaryotic translation initiation factor 4E binding protein 2(EIF4EBP2)
ENSMMUG00000019580	HNRNPH2	Macaca mulatta	heterogeneous nuclear ribonucleoprotein H2 (H')(HNRNPH2)
ENSMMUG00000007331	BOLA2B	Macaca mulatta	bolA family member 2B(BOLA2B)
ENSMMUG00000032119	LOC699317	Macaca mulatta	histone H4(LOC699317)
ENSMMUG00000007535	LOC713683	Macaca mulatta	arachidonate 12-lipoxygenase, epidermal-type-like(LOC713683)
ENSMMUG00000019126	PNP	Macaca mulatta	purine nucleoside phosphorylase(PNP)
ENSMMUG00000007536	LOC700685	Macaca mulatta	60S ribosomal protein L24 pseudogene(LOC700685)
ENSMMUG00000022489	LOC702174	Macaca mulatta	40S ribosomal protein S15a pseudogene(LOC702174)
ENSMMUG00000004127	SHFM1	Macaca mulatta	split hand/foot malformation (ectrodactyly) type 1(SHFM1)
ENSMMUG00000014786	LOC704510	Macaca mulatta	60S ribosomal protein L29-like(LOC704510)
ENSMMUG00000004547	TIMM17B	Macaca mulatta	translocase of inner mitochondrial membrane 17 homolog B (yeast)(TIMM17B)
ENSMMUG00000013256	LOC697564	Macaca mulatta	interferon-induced transmembrane protein 3(LOC697564)
ENSMMUG00000003684	ATP8B4	Macaca mulatta	ATPase phospholipid transporting 8B4 (putative)(ATP8B4)
ENSMMUG00000002489	LOC716090	Macaca mulatta	alpha-aminoadipic semialdehyde dehydrogenase pseudogene(LOC716090)
ENSMMUG00000001354	NDUFV2	Macaca mulatta	NADH:ubiquinone oxidoreductase core subunit V2(NDUFV2)
ENSMMUG00000013257	ifitm1	Macaca mulatta	interferon induced transmembrane protein 1(IFITM1)
ENSMMUG00000008090	RPL27	Macaca mulatta	ribosomal protein L27(RPL27)
ENSMMUG00000010539	ZC3H11A	Macaca mulatta	zinc finger CCCH-type containing 11A(ZC3H11A)
ENSMMUG00000029297	LOC713573	Macaca mulatta	disintegrin and metalloproteinase domain-containing protein 30-like(LOC713573)
ENSMMUG00000012629	TMEM139	Macaca mulatta	transmembrane protein 139(TMEM139)
ENSMMUG00000019594	LOC698056	Macaca mulatta	DDB1- and CUL4-associated factor 13(LOC698056)
ENSMMUG00000022087	LOC706349	Macaca mulatta	tyrosine-protein kinase SgK223(LOC706349)
ENSMMUG00000022084	ARGLU1	Macaca mulatta	arginine and glutamate rich 1(ARGLU1)
ENSMMUG00000023189	NDUFS8	Macaca mulatta	NADH:ubiquinone oxidoreductase core subunit S8(NDUFS8)
ENSMMUG00000010545	GABARAP	Macaca mulatta	GABA type A receptor-associated protein(GABARAP)
ENSMMUG00000019396	PPP1R2	Macaca mulatta	protein phosphatase 1 regulatory inhibitor subunit 2(PPP1R2)
ENSMMUG00000020401	COPRS	Macaca mulatta	coordinator of PRMT5 and differentiation stimulator(COPRS)
ENSMMUG00000016193	CBWD1	Macaca mulatta	COBW domain containing 1(CBWD1)
ENSMMUG00000018707	ZNF746	Macaca mulatta	zinc finger protein 746(ZNF746)
ENSMMUG00000019976	ATP8B1	Macaca mulatta	ATPase phospholipid transporting 8B1(ATP8B1)
ENSMMUG00000002859	LOC708074	Macaca mulatta	60S ribosomal protein L29-like(LOC708074)
ENSMMUG00000004146	RBBP9	Macaca mulatta	RB binding protein 9, serine hydrolase(RBBP9)
ENSMMUG00000003664	ATF7IP	Macaca mulatta	activating transcription factor 7 interacting protein(ATF7IP)
ENSMMUG00000016981	PSMD10	Macaca mulatta	proteasome 26S subunit, non-ATPase 10(PSMD10)
ENSMMUG00000013237	RPS12	Macaca mulatta	ribosomal protein S12(RPS12)
ENSMMUG00000004523	POLD4	Macaca mulatta	DNA polymerase delta 4, accessory subunit(POLD4)
ENSMMUG00000020603	PYROXD2	Macaca mulatta	pyridine nucleotide-disulphide oxidoreductase domain 2(PYROXD2)
ENSMMUG00000004520	NDUFS2	Macaca mulatta	NADH:ubiquinone oxidoreductase core subunit S2(NDUFS2)
ENSMMUG00000004924	LOC697876	Macaca mulatta	protein phosphatase 1 regulatory subunit 14B(LOC697876)
ENSMMUG00000013632	MIA	Macaca mulatta	melanoma inhibitory activity(MIA)
ENSMMUG00000019570	LOC716748	Macaca mulatta	farnesyl pyrophosphate synthase pseudogene(LOC716748)
ENSMMUG00000019760	KPNB1	Macaca mulatta	karyopherin subunit beta 1(KPNB1)
ENSMMUG00000013221	DYNLT3	Macaca mulatta	dynein light chain Tctex-type 3(DYNLT3)
ENSMMUG00000019376	TIMM50	Macaca mulatta	translocase of inner mitochondrial membrane 50(TIMM50)
ENSMMUG00000012612	TSR2	Macaca mulatta	TSR2, ribosome maturation factor(TSR2)
ENSMMUG00000019544	RPL37A	Macaca mulatta	ribosomal protein L37a(RPL37A)
ENSMMUG00000023411	SGK494	Macaca mulatta	putative serine/threonine-protein kinase SgK494(SGK494)
ENSMMUG00000004502	RPL23	Macaca mulatta	ribosomal protein L23(RPL23)
ENSMMUG00000019549	GALE	Macaca mulatta	UDP-galactose-4-epimerase(GALE)
ENSMMUG00000009188	CAP1	Macaca mulatta	adenylate cyclase associated protein 1(CAP1)
ENSMMUG00000020856	SPON2	Macaca mulatta	spondin 2(SPON2)
ENSMMUG00000010904	MAP2K3	Macaca mulatta	mitogen-activated protein kinase kinase 3(MAP2K3)
ENSMMUG00000006645	SRRM1	Macaca mulatta	serine and arginine repetitive matrix 1(SRRM1)
ENSMMUG00000010304	C3H21orf59	Macaca mulatta	chromosome 3 open reading frame, human C21orf59(C3H21orf59)
ENSMMUG00000020269	LOC708442	Macaca mulatta	elongation factor 1-gamma-like(LOC708442)
ENSMMUG00000023805	TTC33	Macaca mulatta	tetratricopeptide repeat domain 33(TTC33)
ENSMMUG00000013209	PABPC1L	Macaca mulatta	poly(A) binding protein cytoplasmic 1 like(PABPC1L)
ENSMMUG00000023807	RPL37	Macaca mulatta	ribosomal protein L37(RPL37)
ENSMMUG00000030631	LOC696316	Macaca mulatta	10 kDa heat shock protein, mitochondrial(LOC696316)
ENSMMUG00000021182	SSBP4	Macaca mulatta	single stranded DNA binding protein 4(SSBP4)
ENSMMUG00000000428	QKI	Macaca mulatta	QKI, KH domain containing RNA binding(QKI)
ENSMMUG00000002431	RNF152	Macaca mulatta	ring finger protein 152(RNF152)
ENSMMUG00000006636	NDUFB8	Macaca mulatta	NADH:ubiquinone oxidoreductase subunit B8(NDUFB8)
ENSMMUG00000000422	RPL12	Macaca mulatta	ribosomal protein L12(RPL12)
ENSMMUG00000007369	LOC100430366	Macaca mulatta	eukaryotic translation initiation factor 2 subunit 3 pseudogene(LOC100430366)
ENSMMUG00000002430	YKT6	Macaca mulatta	YKT6 v-SNARE homolog (S. cerevisiae)(YKT6)
ENSMMUG00000029875	MAMU-A	Macaca mulatta	major histocompatibility complex, class I, A(MAMU-A)
ENSMMUG00000007366	LOC696878	Macaca mulatta	V-type proton ATPase catalytic subunit A pseudogene(LOC696878)
ENSMMUG00000021980	LOC716888	Macaca mulatta	ribosomal protein L15-like(LOC716888)
ENSMMUG00000011480	FAM58A	Macaca mulatta	family with sequence similarity 58 member A(FAM58A)
ENSMMUG00000019552	LOC693699	Macaca mulatta	nudC domain-containing protein 2(LOC693699)
ENSMMUG00000023812	TRAK2	Macaca mulatta	trafficking kinesin protein 2(TRAK2)
ENSMMUG00000007775	SMNDC1	Macaca mulatta	survival motor neuron domain containing 1(SMNDC1)
ENSMMUG00000021984	LOC710158	Macaca mulatta	cancer/testis antigen family 45 member A10-like(LOC710158)
ENSMMUG00000003629	PI4K2B	Macaca mulatta	phosphatidylinositol 4-kinase type 2 beta(PI4K2B)
ENSMMUG00000014993	LOC697703	Macaca mulatta	alcohol dehydrogenase 5 (class III), chi polypeptide-like(LOC697703)
ENSMMUG00000010925	CHTF8	Macaca mulatta	chromosome transmission fidelity factor 8(CHTF8)
ENSMMUG00000001172	SOHLH2	Macaca mulatta	spermatogenesis and oogenesis specific basic helix-loop-helix 2(SOHLH2)
ENSMMUG00000001377	ASXL2	Macaca mulatta	additional sex combs like 2, transcriptional regulator(ASXL2)
ENSMMUG00000019529	HMGA1	Macaca mulatta	high mobility group AT-hook 1(HMGA1)
ENSMMUG00000001376	YTHDC2	Macaca mulatta	YTH domain containing 2(YTHDC2)
ENSMMUG00000008604	EVI2A	Macaca mulatta	ecotropic viral integration site 2A(EVI2A)
ENSMMUG00000008881	ING2	Macaca mulatta	inhibitor of growth family member 2(ING2)
ENSMMUG00000007740	DNAJA1	Macaca mulatta	DnaJ heat shock protein family (Hsp40) member A1(DNAJA1)
ENSMMUG00000021971	LOC699983	Macaca mulatta	butyrophilin subfamily 3 member A3(LOC699983)
ENSMMUG00000007743	TAF10	Macaca mulatta	TATA-box binding protein associated factor 10(TAF10)
ENSMMUG00000020449	mocs2	Macaca mulatta	molybdenum cofactor synthesis 2(MOCS2)
ENSMMUG00000002628	IMPA1	Macaca mulatta	inositol monophosphatase 1(IMPA1)
ENSMMUG00000001570	ttc32	Macaca mulatta	tetratricopeptide repeat domain 32(TTC32)
ENSMMUG00000002416	CLIC4	Macaca mulatta	chloride intracellular channel 4(CLIC4)
ENSMMUG00000003638	LOXL1	Macaca mulatta	lysyl oxidase like 1(LOXL1)
ENSMMUG00000003637	ZP3	Macaca mulatta	zona pellucida glycoprotein 3(ZP3)
ENSMMUG00000014037	USMG5	Macaca mulatta	up-regulated during skeletal muscle growth 5 homolog (mouse)(USMG5)
ENSMMUG00000000404	LOC714004	Macaca mulatta	uricase(LOC714004)
ENSMMUG00000017400	LOC709220	Macaca mulatta	zinc finger protein 587(LOC709220)
ENSMMUG00000008879	AREL1	Macaca mulatta	apoptosis resistant E3 ubiquitin protein ligase 1(AREL1)
ENSMMUG00000020433	MRPS15	Macaca mulatta	mitochondrial ribosomal protein S15(MRPS15)
ENSMMUG00000015682	TCF19	Macaca mulatta	transcription factor 19(TCF19)
ENSMMUG00000001549	LOC702125	Macaca mulatta	ATPase family AAA domain-containing protein 3A(LOC702125)
ENSMMUG00000016313	RUSC2	Macaca mulatta	RUN and SH3 domain containing 2(RUSC2)
ENSMMUG00000030680	LOC701250	Macaca mulatta	ribosomal protein L7-like(LOC701250)
ENSMMUG00000020894	NDUFA4	Macaca mulatta	NDUFA4, mitochondrial complex associated(NDUFA4)
ENSMMUG00000029820	TEN1	Macaca mulatta	TEN1, CST complex subunit(TEN1)
ENSMMUG00000009140	TAF9	Macaca mulatta	TATA-box binding protein associated factor 9(TAF9)
ENSMMUG00000006604	COQ7	Macaca mulatta	coenzyme Q7, hydroxylase(COQ7)
ENSMMUG00000019500	MTHFSD	Macaca mulatta	methenyltetrahydrofolate synthetase domain containing(MTHFSD)
ENSMMUG00000010727	LOC694887	Macaca mulatta	prothymosin alpha-like(LOC694887)
ENSMMUG00000006609	MICB	Macaca mulatta	MHC class I polypeptide-related sequence B(MICB)
ENSMMUG00000003403	TMEM123	Macaca mulatta	transmembrane protein 123(TMEM123)
ENSMMUG00000029627	ENPP4	Macaca mulatta	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)(ENPP4)
ENSMMUG00000016517	UTP14C	Macaca mulatta	UTP14, small subunit processome component homolog C (S. cerevisiae)(UTP14C)
ENSMMUG00000020226	WSB1	Macaca mulatta	WD repeat and SOCS box containing 1(WSB1)
ENSMMUG00000029624	LOC703344	Macaca mulatta	60S ribosomal protein L36 pseudogene(LOC703344)
ENSMMUG00000016512	FKBP3	Macaca mulatta	FK506 binding protein 3(FKBP3)
ENSMMUG00000008667	DCAF10	Macaca mulatta	DDB1 and CUL4 associated factor 10(DCAF10)
ENSMMUG00000023659	STARD3NL	Macaca mulatta	STARD3 N-terminal like(STARD3NL)
ENSMMUG00000001559	TMEM170A	Macaca mulatta	transmembrane protein 170A(TMEM170A)
ENSMMUG00000009156	LIMS1	Macaca mulatta	LIM zinc finger domain containing 1(LIMS1)
ENSMMUG00000009155	FAM60A	Macaca mulatta	family with sequence similarity 60 member A(FAM60A)
ENSMMUG00000022002	SGSM2	Macaca mulatta	small G protein signaling modulator 2(SGSM2)
ENSMMUG00000009157	RPLP0	Macaca mulatta	ribosomal protein lateral stalk subunit P0(RPLP0)
ENSMMUG00000016321	TPM2	Macaca mulatta	tropomyosin 2 (beta)(TPM2)
ENSMMUG00000020690	EPB41L1	Macaca mulatta	erythrocyte membrane protein band 4.1 like 1(EPB41L1)
ENSMMUG00000021939	OTULIN	Macaca mulatta	OTU deubiquitinase with linear linkage specificity(OTULIN)
ENSMMUG00000022009	CDC42	Macaca mulatta	cell division cycle 42(CDC42)
ENSMMUG00000030679	LOC698086	Macaca mulatta	60S ribosomal protein L7a pseudogene(LOC698086)
ENSMMUG00000008295	AAED1	Macaca mulatta	AhpC/TSA antioxidant enzyme domain containing 1(AAED1)
ENSMMUG00000015464	PXMP2	Macaca mulatta	peroxisomal membrane protein 2(PXMP2)
ENSMMUG00000014098	SELENOO	Macaca mulatta	selenoprotein O(SELENOO)
ENSMMUG00000015667	SLC25A30	Macaca mulatta	solute carrier family 25 member 30(SLC25A30)
ENSMMUG00000029417	LOC716075	Macaca mulatta	60S ribosomal protein L7 pseudogene(LOC716075)
ENSMMUG00000000663	GBP2	Macaca mulatta	guanylate binding protein 2(GBP2)
ENSMMUG00000021944	taf7	Macaca mulatta	TATA-box binding protein associated factor 7(TAF7)
ENSMMUG00000011308	lacc1	Macaca mulatta	laccase domain containing 1(LACC1)
ENSMMUG00000020498	ZNF135	Macaca mulatta	zinc finger protein 135(ZNF135)
ENSMMUG00000003412	LOC712274	Macaca mulatta	40S ribosomal protein S6(LOC712274)
ENSMMUG00000020214	SMN1	Macaca mulatta	survival of motor neuron 1, telomeric(SMN1)
ENSMMUG00000003411	LOC693792	Macaca mulatta	thioredoxin pseudogene(LOC693792)
ENSMMUG00000007019	CYB561D2	Macaca mulatta	cytochrome b-561 domain containing 2(CYB561D2)
ENSMMUG00000013441	SYT15	Macaca mulatta	synaptotagmin 15(SYT15)
ENSMMUG00000020005	SLC23A2	Macaca mulatta	solute carrier family 23 member 2(SLC23A2)
ENSMMUG00000010322	TXN	Macaca mulatta	thioredoxin(TXN)
ENSMMUG00000020007	LOC712269	Macaca mulatta	leydig cell tumor 10 kDa protein homolog pseudogene(LOC712269)
ENSMMUG00000007596	SEMA4C	Macaca mulatta	semaphorin 4C(SEMA4C)
ENSMMUG00000023138	BRD2	Macaca mulatta	bromodomain containing 2(BRD2)
ENSMMUG00000011473	C18H18orf25	Macaca mulatta	chromosome 18 open reading frame, human C18orf25(C18H18orf25)
ENSMMUG00000029608	LOC712599	Macaca mulatta	60S ribosomal protein L37 pseudogene(LOC712599)
ENSMMUG00000002669	fktn	Macaca mulatta	fukutin(FKTN)
ENSMMUG00000011476	SNX5	Macaca mulatta	sorting nexin 5(SNX5)
ENSMMUG00000014083	NT5C1B	Macaca mulatta	5'-nucleotidase, cytosolic IB(NT5C1B)
ENSMMUG00000013439	FAM35A	Macaca mulatta	family with sequence similarity 35 member A(FAM35A)
ENSMMUG00000020200	LOC706480	Macaca mulatta	nucleosome assembly protein 1-like 1(LOC706480)
ENSMMUG00000007391	C4H6orf203	Macaca mulatta	chromosome 4 open reading frame, human C6orf203(C4H6orf203)
ENSMMUG00000008642	LOC698185	Macaca mulatta	inositol-trisphosphate 3-kinase B(LOC698185)
ENSMMUG00000020203	NSG1	Macaca mulatta	neuron specific gene family member 1(NSG1)
ENSMMUG00000020483	thap7	Macaca mulatta	THAP domain containing 7(THAP7)
ENSMMUG00000023123	CHCHD4	Macaca mulatta	coiled-coil-helix-coiled-coil-helix domain containing 4(CHCHD4)
ENSMMUG00000029026	LOC702875	Macaca mulatta	60S ribosomal protein L32 pseudogene(LOC702875)
ENSMMUG00000023619	SLC35G6	Macaca mulatta	solute carrier family 35 member G6(SLC35G6)
ENSMMUG00000016305	LOC100427305	Macaca mulatta	40S ribosomal protein S15a pseudogene(LOC100427305)
ENSMMUG00000029237	LOC708405	Macaca mulatta	60S ribosomal protein L7a pseudogene(LOC708405)
ENSMMUG00000015442	STXBP6	Macaca mulatta	syntaxin binding protein 6(STXBP6)
ENSMMUG00000016306	AHCY	Macaca mulatta	adenosylhomocysteinase(AHCY)
ENSMMUG00000030696	LOC100425829	Macaca mulatta	protein S100-A11 pseudogene(LOC100425829)
ENSMMUG00000021721	RAB1A	Macaca mulatta	RAB1A, member RAS oncogene family(RAB1A)
ENSMMUG00000021916	GNAQ	Macaca mulatta	G protein subunit alpha q(GNAQ)
ENSMMUG00000010716	LOC711193	Macaca mulatta	A disintegrin and metalloproteinase with thrombospondin motifs 7(LOC711193)
ENSMMUG00000010981	SLC2A6	Macaca mulatta	solute carrier family 2 member 6(SLC2A6)
ENSMMUG00000030892	LOC701661	Macaca mulatta	cytochrome c oxidase subunit 5B, mitochondrial(LOC701661)
ENSMMUG00000007991	LOC715370	Macaca mulatta	40S ribosomal protein S26-like(LOC715370)
ENSMMUG00000020473	COQ9	Macaca mulatta	coenzyme Q9(COQ9)
ENSMMUG00000011468	CELF2	Macaca mulatta	CUGBP, Elav-like family member 2(CELF2)
ENSMMUG00000002654	LOC100424965	Macaca mulatta	cytochrome P450 2D17-like(LOC100424965)
ENSMMUG00000000648	IL23R	Macaca mulatta	interleukin 23 receptor(IL23R)
ENSMMUG00000023623	ZNFX1	Macaca mulatta	zinc finger NFX1-type containing 1(ZNFX1)
